Densitat de població. 2019,,,,
Municipis amb més de 20.000 habitants,,,,
,Població,,,
,,Superfície,Densitat,Rang per
,,km2,hab./km2,nombre d'hab.
Barcelona,1636762,101.4,16149.6,1
Hospitalet de Llobregat. l',264923,12.4,21364.8,2
Terrassa,220556,70.2,3143.6,3
Badalona,220440,21.2,10407.9,4
Sabadell,213644,37.8,5653.5,5
Lleida,138956,212.3,654.5,6
Tarragona,134515,57.9,2324,7
Mataró,128265,22.5,5693.1,8
Santa Coloma de Gramenet,119215,7,17030.7,9
Reus,104373,52.8,1976,10
Girona,101852,39.1,2603.6,11
Sant Cugat del Vallès,91006,48.2,1886.9,12
Cornellà de Llobregat,88592,7,12674.1,13
Sant Boi de Llobregat,83605,21.5,3894,14
Manresa,77714,41.7,1865.9,15
Rubí,77464,32.3,2398.3,16
Vilanova i la Geltrú,67086,34,1973.7,17
Castelldefels,67004,12.9,5206.2,18
Viladecans,66611,20.4,3265.3,19
Prat de Llobregat. el,64599,31.4,2056.6,20
Granollers,61275,14.9,4120.7,21
Cerdanyola del Vallès,57403,30.6,1878.4,22
Mollet del Vallès,51318,10.8,4764.9,23
Gavà,46771,30.8,1521,24
Esplugues de Llobregat,46680,4.6,10147.8,25
Figueres,46654,19.3,2417.3,26
Vic,46214,30.6,1511.3,27
Sant Feliu de Llobregat,44860,11.8,3795.3,28
Igualada,39967,8.1,4928.1,29
Vilafranca del Penedès,39746,19.6,2022.7,30
Blanes,39028,17.7,2210,31
Ripollet,38665,4.3,8929.6,32
Lloret de Mar,38373,48.7,787.8,33
Vendrell. el,37606,36.8,1021.9,34
Sant Adrià de Besòs,37097,3.8,9711.3,35
Montcada i Reixac,36239,23.5,1544.1,36
Olot,35228,29,1213.5,37
Sant Joan Despí,34123,6.2,5530.5,38
Cambrils,33898,35.2,962.7,39
Tortosa,33372,218.5,152.7,40
Barberà del Vallès,33091,8.3,3982.1,41
Salt,31362,6.6,4723.2,42
Sant Pere de Ribes,30719,40.8,752.9,43
Sitges,29307,43.9,668.4,44
Martorell,28189,12.8,2209.2,45
Premià de Mar,28119,2.1,13326.5,46
Sant Vicenç dels Horts,28117,9.1,3083,47
Sant Andreu de la Barca,27558,5.5,5010.6,48
Salou,27476,15.1,1816,49
Pineda de Mar,27272,10.7,2539.3,50
Calafell,26538,20.4,1302.2,51
Molins de Rei,25868,15.9,1622.8,52
Santa Perpètua de Mogoda,25799,15.8,1629.8,53
Valls,24359,55.3,440.7,54
Castellar del Vallès,24187,44.9,538.6,55
Olesa de Montserrat,23904,16.6,1437.4,56
Masnou. el,23515,3.4,6936.6,57
Palafrugell,22974,26.9,854.7,58
Esparreguera,22251,27.4,812.1,59
Vila-seca,22187,21.6,1025.3,60
Sant Feliu de Guíxols,21925,16.2,1350.9,61
Vilassar de Mar,20837,4,5209.3,62
Amposta,20738,138.3,149.9,63
Manlleu,20573,17.2,1194,64
Sant Quirze del Vallès,20141,14.1,1431.5,65
Franqueses del Vallès. les,20092,29.1,689.5,66
,,,,
Institut d'Estadística de Catalunya,,,,
